LONGITUDE;LATITUDE;LABEL;KML_FOLDER;KML_STYLE;descripción;valor
-79,0023638;-2,9016129;PIZZALACQUA;Indicaciones de La Fornace a PIZZALACQUA;icon-ci-11-nodesc;;
-79,0030739;-2,8980927;La Fornace;Indicaciones de La Fornace a Chicago Pizza Restaurant;icon-ci-10-nodesc;;
-79,0060027;-2,8954966;Chicago Pizza Restaurant;Indicaciones de La Fornace a Chicago Pizza Restaurant;icon-ci-11-nodesc;;
-79,0017959;-2,8968839;Cresly Pizzeria;Indicaciones de Cresly Pizzeria a Napoletana Pizza;icon-ci-10-nodesc;;
-78,9991908;-2,9099860;Napoletana Pizza;Indicaciones de Cresly Pizzeria a Napoletana Pizza;icon-ci-11-nodesc;;
-79,0023638;-2,9016129;PIZZALACQUA;Indicaciones de PIZZALACQUA a Tutto Matto Pizzería;icon-ci-10-nodesc;;
-79,0084507;-2,9100582;Tutto Matto Pizzería;Indicaciones de PIZZALACQUA a Tutto Matto Pizzería;icon-ci-11-nodesc;;
-79,0023638;-2,9016129;PIZZALACQUA;Indicaciones de PIZZALACQUA a Piatto Pizza Delivery | Paseo de los Cañaris;icon-ci-10-nodesc;;
-78,9870588;-2,9023894;Piatto Pizza Delivery | Paseo de los Cañaris;Indicaciones de PIZZALACQUA a Piatto Pizza Delivery | Paseo de los Cañaris;icon-ci-11-nodesc;;
-79,0060027;-2,8954966;Chicago Pizza Restaurant;Indicaciones de Chicago Pizza Restaurant a La Fornace;icon-ci-10-nodesc;;
-79,0179980;-2,8983202;La Fornace;Indicaciones de Chicago Pizza Restaurant a La Fornace;icon-ci-11-nodesc;;
-79,0060027;-2,8954966;Chicago Pizza Restaurant;Indicaciones de Chicago Pizza Restaurant a PIZZA ECUADOR;icon-ci-10-nodesc;;
-79,0163400;-2,9063210;PIZZA ECUADOR;Indicaciones de Chicago Pizza Restaurant a PIZZA ECUADOR;icon-ci-11-nodesc;;
-79,0084607;-2,9100931;Tutto Matto Pizzería;Indicaciones de Tutto Matto Pizzería a PIZZA ECUADOR;icon-ci-10-nodesc;;
-79,0163400;-2,9063210;PIZZA ECUADOR;Indicaciones de Tutto Matto Pizzería a PIZZA ECUADOR;icon-ci-11-nodesc;;
-79,0132631;-2,9042661;Pollos de la Remigio;pollos asados;icon-1899-0097A7-labelson;;4.1
-78,9450782;-2,8777386;Pollos Asados ANDREITA;pollos asados;icon-1899-558B2F-labelson;;5.0
-78,9770256;-2,9013681;" DEL BOSQUE " POLLOS ASADOS $10;pollos asados;icon-1899-673AB7-labelson;;4.5
-78,9833840;-2,8990659;Pollos De La Remigio;pollos asados;icon-1899-1A237E-labelson;;4.1
-79,0384836;-2,9220711;Mega Chifa Pollo Carbonero;pollos asados;icon-1899-7CB342-labelson;;4.1
-79,0090185;-2,8861304;Viko Pollería;pollos asados;icon-1899-3949AB-labelson;;4.3
-79,0421207;-2,8870978;ASADOS Y PARAILLADAS;pollos asados;icon-1899-AFB42B-labelson;;4.0
-78,9847087;-2,9016509;Kaníbales;pollos asados;icon-1899-FFD600-labelson;;4.3
-79,0036660;-2,8998270;Pio Pio Restaurantes Centro;pollos asados;icon-1899-FFEA00-labelson;;4.1
-78,9947284;-2,8857614;El Papi Pollo;pollos asados;icon-1899-FBC02D-labelson;;4.1
-79,0036956;-2,8999650;Pio Pio Restaurantes Centro;Indicaciones de Pio Pio Restaurantes Centro a Pollos de la Remigio;icon-ci-11-nodesc;;
-79,0131146;-2,9043363;Pollos de la Remigio;Indicaciones de Pio Pio Restaurantes Centro a Pollos de la Remigio;icon-ci-12-nodesc;;
-79,0036956;-2,8999650;Pio Pio Restaurantes Centro;Indicaciones de Pio Pio Restaurantes Centro a Kaníbales;icon-ci-11-nodesc;;
-78,9845233;-2,9016375;Kaníbales;Indicaciones de Pio Pio Restaurantes Centro a Kaníbales;icon-ci-12-nodesc;;
-78,9845233;-2,9016375;Kaníbales;Indicaciones de Kaníbales a Pollos De La Remigio;icon-ci-11-nodesc;;
-78,9834841;-2,8991102;Pollos De La Remigio;Indicaciones de Kaníbales a Pollos De La Remigio;icon-ci-12-nodesc;;
-79,0036956;-2,8999650;Pio Pio Restaurantes Centro;Indicaciones de Pio Pio Restaurantes Centro a Viko Pollería;icon-ci-11-nodesc;;
-79,0089296;-2,8863662;Viko Pollería;Indicaciones de Pio Pio Restaurantes Centro a Viko Pollería;icon-ci-12-nodesc;;
-79,0036956;-2,8999650;Pio Pio Restaurantes Centro;Indicaciones de Pio Pio Restaurantes Centro a El Papi Pollo;icon-ci-11-nodesc;;
-78,9945964;-2,8856808;El Papi Pollo;Indicaciones de Pio Pio Restaurantes Centro a El Papi Pollo;icon-ci-12-nodesc;;
-78,9945964;-2,8856808;El Papi Pollo;Indicaciones de El Papi Pollo a Pollos De La Remigio;icon-ci-11-nodesc;;
-78,9834841;-2,8991102;Pollos De La Remigio;Indicaciones de El Papi Pollo a Pollos De La Remigio;icon-ci-12-nodesc;;
-79,0089296;-2,8863662;Viko Pollería;Indicaciones de Viko Pollería a Pollos de la Remigio;icon-ci-11-nodesc;;
-79,0131588;-2,9041598;Pollos de la Remigio;Indicaciones de Viko Pollería a Pollos de la Remigio;icon-ci-12-nodesc;;
-79,0421221;-2,8870977;ASADOS Y PARAILLADAS;Indicaciones de ASADOS Y PARAILLADAS a Pollos de la Remigio;icon-ci-11-nodesc;;
-79,0131588;-2,9041598;Pollos de la Remigio;Indicaciones de ASADOS Y PARAILLADAS a Pollos de la Remigio;icon-ci-12-nodesc;;
-79,0421221;-2,8870977;ASADOS Y PARAILLADAS;Indicaciones de ASADOS Y PARAILLADAS a Viko Pollería;icon-ci-11-nodesc;;
-79,0089296;-2,8863662;Viko Pollería;Indicaciones de ASADOS Y PARAILLADAS a Viko Pollería;icon-ci-12-nodesc;;
